u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,junction,access,width,ref
246130410,93810154,0,"[120513792, 191159413]",True,4,Piazza di San Giovanni in Laterano,primary,50,False,114.77600000000001,"LINESTRING (12.5049514 41.8870192, 12.5049973 41.8870267, 12.5051894 41.8870584, 12.5054192 41.8870982, 12.5055166 41.8871121, 12.5056185 41.8871219, 12.5057394 41.8871258, 12.505845 41.8871215, 12.5059369 41.8871103, 12.5060107 41.8871013, 12.5061039 41.8870776, 12.5062703 41.8870305, 12.5063018 41.8870216)",,,,,,
246133380,255462617,0,"[22885521, 191159414]",True,2,"['Via Domenico Fontana', 'Piazza di San Giovanni in Laterano']",secondary,50,False,97.206,"LINESTRING (12.5069239 41.8877285, 12.5066349 41.8876374, 12.5065151 41.8876053, 12.505911 41.8874481, 12.5058233 41.8874247)",,,,,,
246133380,255462618,0,23591234,True,1,Via Tasso,residential,,False,83.496,"LINESTRING (12.5069239 41.8877285, 12.5069159 41.8877472, 12.5068924 41.8877986, 12.5065991 41.8884394)",,,,,,
246137471,101015321,0,23591370,False,1,Via dei Querceti,residential,,False,42.111,"LINESTRING (12.4976161 41.8877907, 12.4977503 41.888156)",,,,,,
246137471,101007862,0,102290909,True,1,Via Marco Aurelio,residential,,False,109.955,"LINESTRING (12.4976161 41.8877907, 12.4964051 41.8880009, 12.4963225 41.8880152)",,,,,,
246138850,101010992,0,"[263344708, 263344709]",True,1,Via Labicana,secondary,30,False,106.65899999999999,"LINESTRING (12.4971412 41.8899716, 12.4975655 41.8898865, 12.4976871 41.8898588, 12.4982161 41.8897594, 12.4982617 41.8897511, 12.4983846 41.889721)",,,,,,
246138850,1180803349,0,"[291759246, 263344710]",True,1,,residential,,False,16.151,"LINESTRING (12.4971412 41.8899716, 12.4971614 41.8899938, 12.4971755 41.8900057, 12.497188 41.8900162, 12.4972048 41.890027, 12.4972177 41.8900353, 12.4972382 41.8900455, 12.4972871 41.8900643)",,,,,,
246139718,2112943269,0,23276316,True,2,Via delle Terme di Tito,residential,,False,24.105,"LINESTRING (12.4929734 41.8913168, 12.493028 41.8913869, 12.4930329 41.8915226)",,,,,,
246139718,255466368,0,235322572,True,2,Via Nicola Salvi,secondary,30,False,118.43900000000001,"LINESTRING (12.4929734 41.8913168, 12.4935187 41.8910667, 12.4936861 41.8909899, 12.4937175 41.8909755, 12.4939343 41.8908796, 12.4941251 41.890826, 12.4942195 41.8907999)",,,,,,
246139719,246139718,0,22885654,True,2,Via Nicola Salvi,secondary,50,False,60.690000000000005,"LINESTRING (12.4922657 41.891459, 12.4928103 41.8913446, 12.4929734 41.8913168)",,,,,,
