node,lng,lat
276,12.4764901,41.8918777
277,12.4757207,41.8936331
278,12.4766617,41.8928995
279,12.4755558,41.8922203
280,12.4751286,41.8928491
281,12.4763227,41.8921753
282,12.4748732,41.8923732
283,12.4717498,41.8930686
284,12.4738907,41.8920876
285,12.482004,41.8906639
286,12.4837631,41.8919861
287,12.4589196,41.9060495
288,12.4684349,41.9053936
289,12.4612995,41.9064126
290,12.4675447,41.9068931
291,12.4645959,41.906135
292,12.4679175,41.9062519
293,12.462152,41.9058467
294,12.4732515,41.9072608
295,12.473333,41.9050467
296,12.47055,41.9065541
297,12.4709752,41.9087029
298,12.4721388,41.9058518
299,12.4713107,41.9059074
300,12.4707319,41.9057889
301,12.4720382,41.9051237
302,12.4713984,41.9066239
303,12.4722852,41.9076901
304,12.4597203,41.908191
305,12.4641763,41.9092696
306,12.4536025,41.9156265
307,12.4492306,41.9099803
308,12.4707133,41.9071728
309,12.4722455,41.9067057
310,12.4995534,41.8993186
311,12.4969695,41.8900054
312,12.5046256,41.8870807
313,12.5063018,41.8870216
314,12.5086144,41.8867148
315,12.5150391,41.8872264
316,12.5180619,41.8879387
317,12.5220926,41.8849954
318,12.5228824,41.8836908
319,12.5232291,41.8823591
320,12.5229346,41.8818538
321,12.5222158,41.8814116
322,12.5226979,41.8809541
323,12.5218125,41.8794863
324,12.567864,41.8536474
325,12.5901033,41.8379701
326,12.4962519,41.9005273
327,12.4985698,41.9053842
328,12.499998,41.9042062
329,12.5002208,41.9031455
330,12.4772838,41.8876371
331,12.4867008,41.8813088
332,12.4865019,41.8821764
333,12.4864184,41.8824227
334,12.485527,41.8805099
335,12.4847013,41.8799722
336,12.4851093,41.8791038
337,12.489056,41.8845855
338,12.4891936,41.8848971
339,12.4954411,41.8897416
340,12.4967729,41.8893366
341,12.4949366,41.8882839
342,12.4951178,41.8888021
343,12.4937147,41.8890725
344,12.4964896,41.8885198
345,12.4963225,41.8880152
346,12.4940146,41.8884549
347,12.4983846,41.889721
348,12.4961537,41.88751
349,12.4974414,41.8872789
350,12.4977854,41.8882628
351,12.4977503,41.888156
352,12.5756802,41.8110551
353,12.5754714,41.8149021
354,12.5914414,41.8395088
