osmid,y,x,street_count,highway,geometry
256170961,41.8885402,12.5123098,4,,POINT (12.5123098 41.8885402)
256170962,41.8881163,12.5108041,3,,POINT (12.5108041 41.8881163)
256170966,41.8880436,12.5138946,3,,POINT (12.5138946 41.8880436)
256170967,41.8887646,12.512548,3,,POINT (12.512548 41.8887646)
256170968,41.8881361,12.5125137,4,,POINT (12.5125137 41.8881361)
256170969,41.8889983,12.5120722,1,,POINT (12.5120722 41.8889983)
256170971,41.8872784,12.5093692,4,,POINT (12.5093692 41.8872784)
256170972,41.8868805,12.5095649,3,,POINT (12.5095649 41.8868805)
256171269,41.8899436,12.5149475,4,,POINT (12.5149475 41.8899436)
256171270,41.889127,12.5141303,4,,POINT (12.5141303 41.889127)
256178952,41.8854518,12.5093719,3,,POINT (12.5093719 41.8854518)
256180132,41.8851837,12.5096185,3,,POINT (12.5096185 41.8851837)
256180133,41.8856096,12.5092705,4,,POINT (12.5092705 41.8856096)
256575364,41.8942983,12.4872539,3,,POINT (12.4872539 41.8942983)
256575369,41.8960337,12.487065,2,,POINT (12.487065 41.8960337)
256575371,41.89653,12.4867825,3,,POINT (12.4867825 41.89653)
256575372,41.8964436,12.4866262,3,,POINT (12.4866262 41.8964436)
256575375,41.8962861,12.4869613,4,,POINT (12.4869613 41.8962861)
256575380,41.8962505,12.4866718,3,,POINT (12.4866718 41.8962505)
256575401,41.8962663,12.4862552,4,,POINT (12.4862552 41.8962663)
256575406,41.8972325,12.4850271,3,,POINT (12.4850271 41.8972325)
256575526,41.8938315,12.4878287,3,,POINT (12.4878287 41.8938315)
256575742,41.8941378,12.4893779,4,,POINT (12.4893779 41.8941378)
256575744,41.894555,12.4908184,4,,POINT (12.4908184 41.894555)
256576313,41.8949189,12.4906773,3,,POINT (12.4906773 41.8949189)
256576319,41.8945583,12.4890335,3,,POINT (12.4890335 41.8945583)
256576320,41.8946867,12.4895669,4,,POINT (12.4895669 41.8946867)
256576580,41.8937358,12.4895861,3,,POINT (12.4895861 41.8937358)
256576581,41.8942817,12.4898168,3,,POINT (12.4898168 41.8942817)
256577526,41.8960836,12.4891714,3,,POINT (12.4891714 41.8960836)
256577529,41.8967858,12.4927524,3,,POINT (12.4927524 41.8967858)
256638788,41.8901222,12.5089858,3,,POINT (12.5089858 41.8901222)
256638789,41.8900179,12.5105967,3,,POINT (12.5105967 41.8900179)
256638791,41.8916611,12.5082308,3,,POINT (12.5082308 41.8916611)
256638792,41.8901341,12.510939,3,,POINT (12.510939 41.8901341)
256638793,41.8910396,12.5093465,3,,POINT (12.5093465 41.8910396)
257355278,41.8959656,12.4735377,1,,POINT (12.4735377 41.8959656)
257359633,41.8964746,12.4844758,3,,POINT (12.4844758 41.8964746)
257359634,41.8960236,12.4847502,3,,POINT (12.4847502 41.8960236)
257359637,41.8960909,12.4852174,1,,POINT (12.4852174 41.8960909)
257359639,41.896538,12.4853969,3,,POINT (12.4853969 41.896538)
257362156,41.8971343,12.5133954,3,,POINT (12.5133954 41.8971343)
257362163,41.8980887,12.5116012,4,,POINT (12.5116012 41.8980887)
257471848,41.8973543,12.5123381,4,,POINT (12.5123381 41.8973543)
257483788,41.8988401,12.5096906,3,,POINT (12.5096906 41.8988401)
257483791,41.8974694,12.5104575,3,,POINT (12.5104575 41.8974694)
257483794,41.8968567,12.5110089,3,,POINT (12.5110089 41.8968567)
257483806,41.8991806,12.5107334,4,,POINT (12.5107334 41.8991806)
257483807,41.8986876,12.5110234,3,,POINT (12.5110234 41.8986876)
257483808,41.8987791,12.511405,4,,POINT (12.511405 41.8987791)
257483809,41.8993671,12.5112365,4,crossing,POINT (12.5112365 41.8993671)
