osmid,y,x,street_count,highway,ref,geometry
2357224273,41.7148595,12.5742309,3,,,POINT (12.5742309 41.7148595)
2361396905,41.7468421,12.349291,3,,,POINT (12.349291 41.7468421)
2361396910,41.7469737,12.3493156,3,,,POINT (12.3493156 41.7469737)
2361396914,41.7469896,12.3492354,3,,,POINT (12.3492354 41.7469896)
2361396967,41.7507452,12.36358,3,,,POINT (12.36358 41.7507452)
2361396977,41.7509492,12.363788,3,,,POINT (12.363788 41.7509492)
2361397027,41.7514915,12.3509791,3,,,POINT (12.3509791 41.7514915)
2361397045,41.7516172,12.3612177,3,,,POINT (12.3612177 41.7516172)
2361397049,41.7516739,12.3626847,3,,,POINT (12.3626847 41.7516739)
2361397050,41.7516832,12.3504727,3,,,POINT (12.3504727 41.7516832)
2361397067,41.7517962,12.3506519,3,,,POINT (12.3506519 41.7517962)
2361397069,41.7518062,12.3611118,3,,,POINT (12.3611118 41.7518062)
2361397107,41.7524868,12.3537139,2,,,POINT (12.3537139 41.7524868)
2361397114,41.7525627,12.3579853,3,,,POINT (12.3579853 41.7525627)
2361397117,41.7526195,12.3540686,2,,,POINT (12.3540686 41.7526195)
2361397121,41.7527202,12.3577649,4,,,POINT (12.3577649 41.7527202)
2361397132,41.7534793,12.3572084,1,,,POINT (12.3572084 41.7534793)
2361397141,41.7548545,12.3510151,1,,,POINT (12.3510151 41.7548545)
2361397269,41.7604484,12.358291,3,,,POINT (12.358291 41.7604484)
2362943944,41.9234602,12.3674405,4,,,POINT (12.3674405 41.9234602)
2364481958,41.7571877,12.3725409,3,,,POINT (12.3725409 41.7571877)
2364481959,41.7573726,12.3724514,3,,,POINT (12.3724514 41.7573726)
2366203625,42.0106416,12.3670585,3,,,POINT (12.3670585 42.0106416)
2366203628,42.0106212,12.3669564,3,,,POINT (12.3669564 42.0106212)
2366203651,42.0107108,12.3667332,3,,,POINT (12.3667332 42.0107108)
2366203656,42.0107855,12.3667002,3,,,POINT (12.3667002 42.0107855)
2366203658,42.0108417,12.3671857,3,,,POINT (12.3671857 42.0108417)
2366203669,42.0109559,12.3668086,3,,,POINT (12.3668086 42.0109559)
2366203676,42.0109646,12.367062,3,,,POINT (12.367062 42.0109646)
2366297447,41.9268157,12.4288792,3,,,POINT (12.4288792 41.9268157)
2366981079,41.8050034,12.4775943,3,,,POINT (12.4775943 41.8050034)
2366981264,41.8097235,12.4734068,1,,,POINT (12.4734068 41.8097235)
2366981308,41.8129195,12.4696385,3,,,POINT (12.4696385 41.8129195)
2366981310,41.8129922,12.4694245,3,,,POINT (12.4694245 41.8129922)
2366981311,41.8129953,12.4684177,2,,,POINT (12.4684177 41.8129953)
2366981320,41.8149677,12.4754996,1,,,POINT (12.4754996 41.8149677)
2367028097,41.7333744,12.2781858,3,,,POINT (12.2781858 41.7333744)
2367028098,41.7334591,12.2782441,3,,,POINT (12.2782441 41.7334591)
