osmid,y,x,node_id
1656765987,37.7503802,-122.3925141,8154
1656766049,37.750074,-122.3924498,8155
1659212547,37.7464341,-122.3878719,8156
1659365989,37.7189487,-122.3994494,8157
1674476329,37.8043131,-122.472363,8158
1677788921,37.760385,-122.4117211,8159
1677788926,37.7589705,-122.4136186,8160
1677788928,37.7492722,-122.4143603,8161
1677788930,37.7473501,-122.4148568,8162
1677788932,37.7506802,-122.4177482,8163
1677788937,37.7481695,-122.415882,8164
1677788940,37.749074,-122.4175919,8165
1677788942,37.768321,-122.4192473,8166
1677788952,37.7542382,-122.4120734,8167
1677788964,37.7483083,-122.4137007,8168
1677788966,37.7494348,-122.4116135,8169
1677788968,37.7510083,-122.4123323,8170
1677788979,37.7644253,-122.408451,8171
1677788981,37.7651174,-122.4186691,8172
1677788982,37.750876,-122.4145155,8173
1677788984,37.7684709,-122.4167235,8174
1677788988,37.7667172,-122.4190997,8175
1677788990,37.7667388,-122.4187467,8176
1677798439,37.768706,-122.4019938,8177
1677798440,37.7681875,-122.4107505,8178
1677798441,37.7628781,-122.4128938,8179
1677798446,37.7603719,-122.4119339,8180
1677798453,37.7667595,-122.4128124,8181
1677798455,37.7690193,-122.4108329,8182
1682972844,37.7392266,-122.3777356,8183
1682973008,37.744898,-122.3868385,8184
1682973024,37.7455995,-122.386255,8185
1683001129,37.7413003,-122.3871557,8186
1683043909,37.7419518,-122.3824872,8187
1689193740,37.7610564,-122.4403041,8188
1692478722,37.7594544,-122.4448206,8189
1692478761,37.7625809,-122.4354426,8190
1692529167,37.7492167,-122.4444434,8191
1707842763,37.7415126,-122.4676328,8192
1707842829,37.7354081,-122.5052639,8193
1707855260,37.7436675,-122.4647605,8194
1707875140,37.7380167,-122.4690901,8195
1707875210,37.7409316,-122.4659074,8196
1707875211,37.7366258,-122.4706236,8197
1707875215,37.7357641,-122.4710009,8198
1707875243,37.7397147,-122.4669669,8199
1707875255,37.7368868,-122.4703883,8200
1707875306,37.7365814,-122.4705536,8201
1707875334,37.7397465,-122.467045,8202
1707875337,37.740877,-122.4657926,8203
1711226132,37.7276879,-122.4672248,8204
1711226144,37.7289162,-122.46807,8205
1711296502,37.7282873,-122.4523626,8206
1711296535,37.7182378,-122.4581865,8207
1711296665,37.7290654,-122.4524623,8208
1711296724,37.7280658,-122.4523608,8209
1711296730,37.7276963,-122.4581689,8210
1711296793,37.730107,-122.4582976,8211
1711296815,37.7232211,-122.4530106,8212
1711296822,37.7274873,-122.458285,8213
1711296844,37.7250768,-122.4582736,8214
1711296874,37.7275862,-122.4583657,8215
1711296909,37.7283533,-122.4516875,8216
1711296945,37.7274833,-122.4581691,8217
1711296967,37.7283304,-122.4523045,8218
1711296973,37.7278999,-122.4523982,8219
1711296983,37.7294531,-122.4582944,8220
1711297019,37.7257217,-122.4582768,8221
1712504516,37.7266983,-122.4465691,8222
1712504981,37.7291019,-122.4430604,8223
1712504984,37.7315391,-122.4374718,8224
1712505069,37.7307379,-122.4391293,8225
1712523413,37.7266972,-122.4470235,8226
1712572355,37.7189369,-122.4531455,8227
1712572356,37.7212898,-122.4521311,8228
1712572357,37.7182398,-122.4571661,8229
1712572375,37.7217937,-122.4492878,8230
1712572378,37.7238756,-122.4561405,8231
1712572380,37.7182439,-122.455125,8232
1712572394,37.7182317,-122.4612511,8233
1712572412,37.7218605,-122.45312,8234
1712572413,37.7236427,-122.461267,8235
1712572432,37.7217247,-122.4493321,8236
1714229537,37.7349044,-122.4714566,8237
1714229542,37.7348221,-122.4715442,8238
1714229567,37.7348139,-122.471457,8239
1714229676,37.7348086,-122.4713939,8240
1714229763,37.7346882,-122.4714613,8241
1714229778,37.7350013,-122.4712218,8242
1718841690,37.7194402,-122.4474711,8243
1718846184,37.7146848,-122.4516514,8244
1718880014,37.713004,-122.4539039,8245
1718880090,37.7136736,-122.4526254,8246
1718880133,37.7132204,-122.4535937,8247
1718882775,37.7132175,-122.4540744,8248
1720923617,37.7835061,-122.4934823,8249
1721483601,37.7928844,-122.4792669,8250
1721494293,37.7914507,-122.4783144,8251
1721494298,37.7914858,-122.4784323,8252
1721494408,37.7919151,-122.4772985,8253
1721494440,37.7919964,-122.4773238,8254
1723563802,37.7707384,-122.4249998,8255
1723563814,37.7648839,-122.4323693,8256
1723563826,37.7682684,-122.4281132,8257
1723563897,37.7685597,-122.4275185,8258
1723563908,37.7701369,-122.4257411,8259
1723563921,37.7714694,-122.4233411,8260
1723563931,37.7713101,-122.4242554,8261
1723563949,37.7669679,-122.4295276,8262
1723563950,37.7701687,-122.4254731,8263
1723564001,37.7635543,-122.4338812,8264
1723564011,37.7652327,-122.4317162,8265
1723738829,37.7822065,-122.4103557,8266
1723738832,37.7755496,-122.4186749,8267
1723738833,37.7867495,-122.4046059,8268
1723738835,37.7743388,-122.4202383,8269
1723738842,37.7723984,-122.422636,8270
1723738852,37.7730339,-122.4218724,8271
1723738865,37.7938135,-122.3956799,8272
1723738880,37.7736501,-122.4213355,8273
1723738966,37.7804885,-122.4125281,8274
1723738980,37.7725989,-122.42266,8275
1723738998,37.7937717,-122.3938776,8276
1723739068,37.772957,-122.4222274,8277
1723739120,37.7741283,-122.4207337,8278
1723739149,37.77502,-122.4193403,8279
1723739176,37.773721,-122.4212458,8280
